"","ASV1","ASV2","ASV25","ASV47","ASV69","ASV102","ASV178","ASV261","ASV315","ASV350","ASV352","ASV548","ASV764","ASV1180","ASV1510","ASV1650","ASV2247","ASV2263","ASV2385","ASV2679","ASV5312","ASV5425","ASV6615","ASV7140","ASV7525","ASV7760","ASV9005","ASV9196","ASV12760","ASV17612"
"149",0.00819672131147541,0.0368852459016393,0.454918032786886,0.10655737704918,0.311475409836066,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.0040983606557377,0.0163934426229508,0.0163934426229508,0.00819672131147541,0,0,0,0,0.0040983606557377,0,0,0,0,0,0,0,0,0,0,0,0
"150",0.010989010989011,0.0989010989010989,0.351648351648352,0.197802197802198,0.197802197802198,0.043956043956044,0,0.021978021978022,0.010989010989011,0.032967032967033,0.010989010989011,0,0,0,0,0,0,0.010989010989011,0,0,0,0,0,0,0,0,0,0,0.010989010989011,0
"151",0.00505050505050505,0.121212121212121,0.474747474747474,0.131313131313131,0.166666666666667,0.00505050505050505,0.0151515151515152,0.0353535353535354,0,0,0.0252525252525253,0.00505050505050505,0,0.00505050505050505,0.00505050505050505,0,0,0.00505050505050505,0,0,0,0,0,0,0,0,0,0,0,0
"157",0.00569259962049336,0.0664136622390892,0.371916508538899,0.178368121442125,0.187855787476281,0.0455407969639469,0.0094876660341556,0.0436432637571158,0.0208728652751423,0.0094876660341556,0.032258064516129,0.00569259962049336,0.00379506641366224,0.00569259962049336,0.00569259962049336,0,0,0.00379506641366224,0,0.00189753320683112,0,0,0,0,0,0,0,0.00189753320683112,0,0
"16",0.00925925925925926,0.0925925925925926,0.425925925925925,0.240740740740741,0.0462962962962963,0.037037037037037,0.0185185185185185,0.0740740740740741,0,0,0.0277777777777778,0.00925925925925926,0.0185185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",0.0178571428571429,0.0803571428571428,0.232142857142857,0.258928571428571,0.178571428571429,0.0714285714285714,0.00892857142857143,0.0267857142857143,0.0357142857142857,0.00892857142857143,0.0267857142857143,0,0.0178571428571429,0.0267857142857143,0.00892857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",0.0103092783505155,0.105670103092784,0.36082474226804,0.18041237113402,0.219072164948453,0.0180412371134021,0.0103092783505155,0.0283505154639175,0.0180412371134021,0.0077319587628866,0.0180412371134021,0.00515463917525773,0.00515463917525773,0.0077319587628866,0.00257731958762887,0,0,0.00257731958762887,0,0,0,0,0,0,0,0,0,0,0,0
"167",0.00617283950617284,0.0617283950617284,0.462962962962964,0.117283950617284,0.148148148148148,0.0246913580246914,0.0154320987654321,0.0555555555555556,0.0123456790123457,0.0154320987654321,0.0339506172839506,0.00308641975308642,0.0154320987654321,0.00617283950617284,0.00308641975308642,0,0,0.0123456790123457,0,0.00617283950617284,0,0,0,0,0,0,0,0,0,0
"170",0.00476190476190476,0.0714285714285714,0.349206349206348,0.168253968253968,0.193650793650793,0.0412698412698413,0.00793650793650794,0.0507936507936508,0.0238095238095238,0.00793650793650794,0.0238095238095238,0.00793650793650794,0.00476190476190476,0.026984126984127,0.00476190476190476,0,0.00158730158730159,0.00634920634920635,0,0.00158730158730159,0,0,0,0,0,0,0,0.00158730158730159,0.00158730158730159,0
"171",0.00452488687782805,0.122171945701357,0.425339366515837,0.113122171945701,0.221719457013575,0.00452488687782805,0,0.0361990950226244,0,0.00452488687782805,0.0271493212669683,0.0180995475113122,0.00452488687782805,0,0.00452488687782805,0.00452488687782805,0.00452488687782805,0,0.00452488687782805,0,0,0,0,0,0,0,0,0,0,0
