"X","sample_pair","group","beta_div_method","beta_div_value","time"
202,"287-342","Time 0","bray",0.868508287292818,0
203,"287-348","Time 0","bray",0.837334639882411,0
204,"287-357","Time 0","bray",0.839737582005623,0
205,"287-365","Time 0","bray",0.836369886558955,0
206,"287-42","Time 0","bray",0.885714285714286,0
207,"287-48","Time 0","bray",0.877125617114646,0
208,"287-55","Time 0","bray",0.789632992811199,0
209,"287-63","Time 0","bray",0.832107312851579,0
210,"287-87","Time 0","bray",0.891573364761344,0
211,"297-31","Time 0","bray",0.970649895178197,0
212,"297-32","Time 0","bray",0.98329853862213,0
213,"297-342","Time 0","bray",0.983838383838384,0
214,"297-348","Time 0","bray",0.980716253443526,0
215,"297-357","Time 0","bray",0.978021978021978,0
216,"297-365","Time 0","bray",0.989962358845671,0
217,"297-42","Time 0","bray",0.981481481481482,0
218,"297-48","Time 0","bray",0.976377952755906,0
219,"297-55","Time 0","bray",0.987951807228916,0
220,"297-63","Time 0","bray",0.983935742971888,0
221,"297-87","Time 0","bray",0.973821989528796,0
222,"31-32","Time 0","bray",0.866228070175439,0
223,"31-342","Time 0","bray",0.868534482758621,0
224,"31-348","Time 0","bray",0.860224331320104,0
225,"31-357","Time 0","bray",0.851437699680511,0
226,"31-365","Time 0","bray",0.89146521953626,0
227,"31-42","Time 0","bray",0.872559095580678,0
228,"31-48","Time 0","bray",0.85759829968119,0
229,"31-55","Time 0","bray",0.871663827370812,0
230,"31-63","Time 0","bray",0.862841147655703,0
231,"31-87","Time 0","bray",0.869938650306748,0
232,"32-342","Time 0","bray",0.858064516129032,0
233,"32-348","Time 0","bray",0.843238587424634,0
234,"32-357","Time 0","bray",0.866028708133971,0
235,"32-365","Time 0","bray",0.901429275505175,0
236,"32-42","Time 0","bray",0.881025641025641,0
237,"32-48","Time 0","bray",0.840933191940615,0
238,"32-55","Time 0","bray",0.872943845717527,0
239,"32-63","Time 0","bray",0.829489867225716,0
240,"32-87","Time 0","bray",0.86780905752754,0
241,"342-348","Time 0","bray",0.855564995751912,0
242,"342-357","Time 0","bray",0.839370078740157,0
243,"342-365","Time 0","bray",0.88361858190709,0
244,"342-42","Time 0","bray",0.8627648839556,0
245,"342-48","Time 0","bray",0.870698644421272,0
246,"342-55","Time 0","bray",0.87858347386172,0
247,"342-63","Time 0","bray",0.867311679336558,0
248,"342-87","Time 0","bray",0.841536614645858,0
