"","sample_pair","group","beta_div_method","beta_div_value"
"222","31-32","Time 0","bray",0.866228070175439
"223","31-342","Time 0","bray",0.868534482758621
"224","31-348","Time 0","bray",0.860224331320104
"225","31-357","Time 0","bray",0.851437699680511
"226","31-365","Time 0","bray",0.89146521953626
"227","31-42","Time 0","bray",0.872559095580678
"228","31-48","Time 0","bray",0.85759829968119
"229","31-55","Time 0","bray",0.871663827370812
"230","31-63","Time 0","bray",0.862841147655703
"231","31-87","Time 0","bray",0.869938650306748
"232","32-342","Time 0","bray",0.858064516129032
"233","32-348","Time 0","bray",0.843238587424634
"234","32-357","Time 0","bray",0.866028708133971
"235","32-365","Time 0","bray",0.901429275505175
"236","32-42","Time 0","bray",0.881025641025641
"237","32-48","Time 0","bray",0.840933191940615
"238","32-55","Time 0","bray",0.872943845717527
"239","32-63","Time 0","bray",0.829489867225716
"240","32-87","Time 0","bray",0.86780905752754
"241","342-348","Time 0","bray",0.855564995751912
"242","342-357","Time 0","bray",0.839370078740157
"243","342-365","Time 0","bray",0.88361858190709
"244","342-42","Time 0","bray",0.8627648839556
"245","342-48","Time 0","bray",0.870698644421272
"246","342-55","Time 0","bray",0.87858347386172
"247","342-63","Time 0","bray",0.867311679336558
"248","342-87","Time 0","bray",0.841536614645858
"249","348-357","Time 0","bray",0.812125249833444
"250","348-365","Time 0","bray",0.833040421792619
"251","348-42","Time 0","bray",0.854337152209493
"252","348-48","Time 0","bray",0.853781512605042
"253","348-55","Time 0","bray",0.856716417910448
"254","348-63","Time 0","bray",0.828367103694875
"255","348-87","Time 0","bray",0.860902255639098
"256","357-365","Time 0","bray",0.820177289995779
"257","357-42","Time 0","bray",0.860076045627376
"258","357-48","Time 0","bray",0.864380358534684
"259","357-55","Time 0","bray",0.843081312410842
"260","357-63","Time 0","bray",0.831733483907397
"261","357-87","Time 0","bray",0.858254105445117
"262","365-42","Time 0","bray",0.889952153110048
"263","365-48","Time 0","bray",0.905733722060253
"264","365-55","Time 0","bray",0.845726198749131
"265","365-63","Time 0","bray",0.854673998428908
"266","365-87","Time 0","bray",0.912008281573499
"267","42-48","Time 0","bray",0.894422310756972
"268","42-55","Time 0","bray",0.889254385964912
"269","42-63","Time 0","bray",0.880697050938338
"270","42-87","Time 0","bray",0.888382687927107
"271","48-55","Time 0","bray",0.891741071428571
"272","48-63","Time 0","bray",0.86027397260274
"273","48-87","Time 0","bray",0.874704491725768
"274","55-63","Time 0","bray",0.831578947368421
"275","55-87","Time 0","bray",0.891956782713085
"276","63-87","Time 0","bray",0.87256371814093
"277","101-112","Time 1","bray",0.761006289308176
"278","101-130","Time 1","bray",0.83634431455898
"279","101-139","Time 1","bray",0.715959004392387
"280","101-167","Time 1","bray",0.65311004784689
"281","101-197","Time 1","bray",0.724137931034483
"282","101-23","Time 1","bray",0.75
"283","101-241","Time 1","bray",0.776141384388807
"284","101-243","Time 1","bray",0.860194174757282
"285","101-257","Time 1","bray",0.714719271623672
"286","101-263","Time 1","bray",0.845303867403315
"287","101-269","Time 1","bray",0.704663212435233
"288","101-279","Time 1","bray",0.678524374176548
"289","101-291","Time 1","bray",0.857988165680473
"290","101-295","Time 1","bray",0.936842105263158
"291","101-300","Time 1","bray",0.781002638522427
"292","101-318","Time 1","bray",0.743386243386243
"293","101-323","Time 1","bray",0.807142857142857
"294","101-343","Time 1","bray",0.663716814159292
"295","101-358","Time 1","bray",0.747954173486088
"296","101-359","Time 1","bray",0.75328947368421
"297","101-46","Time 1","bray",0.745736434108527
"298","101-5","Time 1","bray",0.779632721202003
"299","101-96","Time 1","bray",0.722077922077922
"300","112-130","Time 1","bray",0.826829268292683
"301","112-139","Time 1","bray",0.786476868327402
"302","112-167","Time 1","bray",0.756643356643357
"303","112-197","Time 1","bray",0.619205298013245
"304","112-23","Time 1","bray",0.736040609137056
"305","112-241","Time 1","bray",0.756272401433692
"306","112-243","Time 1","bray",0.83756345177665
"307","112-257","Time 1","bray",0.717472118959108
"308","112-263","Time 1","bray",0.786729857819905
"309","112-269","Time 1","bray",0.720430107526882
"310","112-279","Time 1","bray",0.705329153605016
"311","112-291","Time 1","bray",0.8860103626943
"312","112-295","Time 1","bray",0.92090395480226
"313","112-300","Time 1","bray",0.679748822605965
"314","112-318","Time 1","bray",0.760629921259843
"315","112-323","Time 1","bray",0.790432801822323
"316","112-343","Time 1","bray",0.734328358208955
"317","112-358","Time 1","bray",0.755102040816326
"318","112-359","Time 1","bray",0.761806981519507
"319","112-46","Time 1","bray",0.801526717557252
"320","112-5","Time 1","bray",0.774058577405858
"321","112-96","Time 1","bray",0.63944530046225
"322","130-139","Time 1","bray",0.833333333333333
"323","130-167","Time 1","bray",0.80952380952381
"324","130-197","Time 1","bray",0.810666666666667
"325","130-23","Time 1","bray",0.934871099050203
"326","130-241","Time 1","bray",0.855113636363636
"327","130-243","Time 1","bray",0.955555555555556
"328","130-257","Time 1","bray",0.859649122807018
"329","130-263","Time 1","bray",0.943661971830986
"330","130-269","Time 1","bray",0.824341279799247
"331","130-279","Time 1","bray",0.823979591836735
"332","130-291","Time 1","bray",0.93609022556391
"333","130-295","Time 1","bray",0.972
"334","130-300","Time 1","bray",0.813537675606641
"335","130-318","Time 1","bray",0.866837387964149
"336","130-323","Time 1","bray",0.924786324786325
"337","130-343","Time 1","bray",0.830882352941177
"338","130-358","Time 1","bray",0.89937106918239
"339","130-359","Time 1","bray",0.914691943127962
"340","130-46","Time 1","bray",0.841791044776119
"341","130-5","Time 1","bray",0.913461538461538
"342","130-96","Time 1","bray",0.80125786163522
"343","139-167","Time 1","bray",0.721393034825871
"344","139-197","Time 1","bray",0.711382113821138
"345","139-23","Time 1","bray",0.711899791231733
"346","139-241","Time 1","bray",0.757847533632287
"347","139-243","Time 1","bray",0.787234042553192
"348","139-257","Time 1","bray",0.68075117370892
"349","139-263","Time 1","bray",0.832258064516129
"350","139-269","Time 1","bray",0.714285714285714
"351","139-279","Time 1","bray",0.695817490494297
"352","139-291","Time 1","bray",0.861313868613139
"353","139-295","Time 1","bray",0.892561983471074
"354","139-300","Time 1","bray",0.805714285714286
"355","139-318","Time 1","bray",0.739961759082218
"356","139-323","Time 1","bray",0.749235474006116
"357","139-343","Time 1","bray",0.702508960573477
"358","139-358","Time 1","bray",0.708994708994709
"359","139-359","Time 1","bray",0.701333333333333
"360","139-46","Time 1","bray",0.766990291262136
"361","139-5","Time 1","bray",0.726775956284153
"362","139-96","Time 1","bray",0.7243947858473
"363","167-197","Time 1","bray",0.733333333333333
"364","167-23","Time 1","bray",0.784810126582278
"365","167-241","Time 1","bray",0.736227045075125
"366","167-243","Time 1","bray",0.866666666666667
"367","167-257","Time 1","bray",0.696027633851468
"368","167-263","Time 1","bray",0.857451403887689
"369","167-269","Time 1","bray",0.69364161849711
"370","167-279","Time 1","bray",0.681885125184094
"371","167-291","Time 1","bray",0.822014051522248
"372","167-295","Time 1","bray",0.934177215189873
"373","167-300","Time 1","bray",0.799410029498525
"374","167-318","Time 1","bray",0.736686390532544
"375","167-323","Time 1","bray",0.8
"376","167-343","Time 1","bray",0.679324894514768
"377","167-358","Time 1","bray",0.751412429378531
"378","167-359","Time 1","bray",0.772727272727273
"379","167-46","Time 1","bray",0.702654867256637
"380","167-5","Time 1","bray",0.76878612716763
"381","167-96","Time 1","bray",0.718840579710145
"382","197-23","Time 1","bray",0.650671785028791
"383","197-241","Time 1","bray",0.778688524590164
"384","197-243","Time 1","bray",0.802469135802469
"385","197-257","Time 1","bray",0.670940170940171
"386","197-263","Time 1","bray",0.664772727272727
"387","197-269","Time 1","bray",0.697074010327022
"388","197-279","Time 1","bray",0.658450704225352
"389","197-291","Time 1","bray",0.848101265822785
"390","197-295","Time 1","bray",0.901408450704225
"391","197-300","Time 1","bray",0.608465608465608
"392","197-318","Time 1","bray",0.702654867256637
"393","197-323","Time 1","bray",0.712737127371274
"394","197-343","Time 1","bray",0.656666666666667
"395","197-358","Time 1","bray",0.695238095238095
"396","197-359","Time 1","bray",0.697841726618705
"397","197-46","Time 1","bray",0.79295154185022
"398","197-5","Time 1","bray",0.656862745098039
"399","197-96","Time 1","bray",0.523316062176166
"400","23-241","Time 1","bray",0.785263157894737
"401","23-243","Time 1","bray",0.768488745980707
"402","23-257","Time 1","bray",0.617582417582418
"403","23-263","Time 1","bray",0.746312684365782
"404","23-269","Time 1","bray",0.742957746478873
"405","23-279","Time 1","bray",0.693693693693694
"406","23-291","Time 1","bray",0.854785478547855
"407","23-295","Time 1","bray",0.904059040590406
"408","23-300","Time 1","bray",0.714801444043321
"409","23-318","Time 1","bray",0.757246376811594
"410","23-323","Time 1","bray",0.702247191011236
"411","23-343","Time 1","bray",0.710391822827939
"412","23-358","Time 1","bray",0.631449631449631
"413","23-359","Time 1","bray",0.702970297029703
"414","23-46","Time 1","bray",0.804988662131519
"415","23-5","Time 1","bray",0.675949367088608
"416","23-96","Time 1","bray",0.678445229681979
"417","241-243","Time 1","bray",0.83453237410072
"418","241-257","Time 1","bray",0.739336492890995
"419","241-263","Time 1","bray",0.862745098039216
"420","241-269","Time 1","bray",0.738317757009346
"421","241-279","Time 1","bray",0.735632183908046
"422","241-291","Time 1","bray",0.859259259259259
"423","241-295","Time 1","bray",0.915966386554622
"424","241-300","Time 1","bray",0.800383877159309
"425","241-318","Time 1","bray",0.799614643545279
"426","241-323","Time 1","bray",0.814241486068111
"427","241-343","Time 1","bray",0.76173285198556
"428","241-358","Time 1","bray",0.759358288770054
"429","241-359","Time 1","bray",0.762803234501348
"430","241-46","Time 1","bray",0.784313725490196
"431","241-5","Time 1","bray",0.756906077348066
"432","241-96","Time 1","bray",0.771106941838649
"433","243-257","Time 1","bray",0.744186046511628
"434","243-263","Time 1","bray",0.788732394366197
"435","243-269","Time 1","bray",0.811320754716981
"436","243-279","Time 1","bray",0.804469273743017
"437","243-291","Time 1","bray",0.811320754716981
"438","243-295","Time 1","bray",0.783783783783784
"439","243-300","Time 1","bray",0.815126050420168
"440","243-318","Time 1","bray",0.830985915492958
"441","243-323","Time 1","bray",0.685534591194969
"442","243-343","Time 1","bray",0.805128205128205
"443","243-358","Time 1","bray",0.685714285714286
"444","243-359","Time 1","bray",0.758454106280193
"445","243-46","Time 1","bray",0.827868852459016
"446","243-5","Time 1","bray",0.686868686868687
"447","243-96","Time 1","bray",0.826558265582656
"448","257-263","Time 1","bray",0.79020979020979
"449","257-269","Time 1","bray",0.685436893203883
"450","257-279","Time 1","bray",0.641434262948207
"451","257-291","Time 1","bray",0.832
"452","257-295","Time 1","bray",0.871559633027523
"453","257-300","Time 1","bray",0.740518962075848
"454","257-318","Time 1","bray",0.711422845691383
"455","257-323","Time 1","bray",0.683168316831683
"456","257-343","Time 1","bray",0.685393258426966
"457","257-358","Time 1","bray",0.598870056497175
"458","257-359","Time 1","bray",0.709401709401709
"459","257-46","Time 1","bray",0.695876288659794
"460","257-5","Time 1","bray",0.660818713450292
"461","257-96","Time 1","bray",0.672514619883041
"462","263-269","Time 1","bray",0.819548872180451
"463","263-279","Time 1","bray",0.792746113989637
"464","263-291","Time 1","bray",0.835820895522388
"465","263-295","Time 1","bray",0.823529411764706
"466","263-300","Time 1","bray",0.755844155844156
"467","263-318","Time 1","bray",0.827676240208877
"468","263-323","Time 1","bray",0.72192513368984
"469","263-343","Time 1","bray",0.799043062200957
"470","263-358","Time 1","bray",0.789915966386555
"471","263-359","Time 1","bray",0.787234042553192
"472","263-46","Time 1","bray",0.86764705882353
"473","263-5","Time 1","bray",0.725663716814159
"474","263-96","Time 1","bray",0.707808564231738
