"","sample_pair","group","beta_div_method","beta_div_value"
"1206","194-65","Time 4","bray",0.889182058047493
"1207","194-85","Time 4","bray",0.90684133915575
"1208","194-9","Time 4","bray",0.88051948051948
"1209","194-92","Time 4","bray",0.858356940509915
"1210","201-202","Time 4","bray",0.826530612244898
"1211","201-213","Time 4","bray",0.934272300469484
"1212","201-221","Time 4","bray",0.942857142857143
"1213","201-234","Time 4","bray",0.855421686746988
"1214","201-247","Time 4","bray",0.891891891891892
"1215","201-249","Time 4","bray",0.831223628691983
"1216","201-258","Time 4","bray",0.880851063829787
"1217","201-276","Time 4","bray",0.788679245283019
"1218","201-311","Time 4","bray",0.919327731092437
"1219","201-333","Time 4","bray",0.90992835209826
"1220","201-338","Time 4","bray",0.769230769230769
"1221","201-345","Time 4","bray",0.815602836879433
"1222","201-43","Time 4","bray",0.870967741935484
"1223","201-49","Time 4","bray",0.849658314350797
"1224","201-65","Time 4","bray",0.890274314214464
"1225","201-85","Time 4","bray",0.901269393511989
"1226","201-9","Time 4","bray",0.911547911547912
"1227","201-92","Time 4","bray",0.856
"1228","202-213","Time 4","bray",0.868766404199475
"1229","202-221","Time 4","bray",0.883928571428571
"1230","202-234","Time 4","bray",0.898203592814371
"1231","202-247","Time 4","bray",0.786150712830957
"1232","202-249","Time 4","bray",0.685358255451713
"1233","202-258","Time 4","bray",0.861042183622829
"1234","202-276","Time 4","bray",0.662817551963048
"1235","202-311","Time 4","bray",0.855832241153342
"1236","202-333","Time 4","bray",0.839301310043668
"1237","202-338","Time 4","bray",0.771028037383178
"1238","202-345","Time 4","bray",0.791111111111111
"1239","202-43","Time 4","bray",0.855769230769231
"1240","202-49","Time 4","bray",0.818780889621087
"1241","202-65","Time 4","bray",0.852372583479789
"1242","202-85","Time 4","bray",0.808437856328392
"1243","202-9","Time 4","bray",0.815652173913043
"1244","202-92","Time 4","bray",0.812154696132597
"1245","213-221","Time 4","bray",0.910780669144981
"1246","213-234","Time 4","bray",0.845161290322581
"1247","213-247","Time 4","bray",0.915317559153176
"1248","213-249","Time 4","bray",0.879049676025918
"1249","213-258","Time 4","bray",0.848214285714286
"1250","213-276","Time 4","bray",0.874015748031496
"1251","213-311","Time 4","bray",0.924657534246575
"1252","213-333","Time 4","bray",0.919254658385093
"1253","213-338","Time 4","bray",0.895582329317269
"1254","213-345","Time 4","bray",0.904059040590406
"1255","213-43","Time 4","bray",0.890295358649789
"1256","213-49","Time 4","bray",0.929906542056075
"1257","213-65","Time 4","bray",0.882051282051282
"1258","213-85","Time 4","bray",0.902578796561605
"1259","213-9","Time 4","bray",0.898989898989899
"1260","213-92","Time 4","bray",0.906593406593407
"1261","221-234","Time 4","bray",0.891891891891892
"1262","221-247","Time 4","bray",0.864367816091954
"1263","221-249","Time 4","bray",0.845283018867925
"1264","221-258","Time 4","bray",0.903780068728522
"1265","221-276","Time 4","bray",0.900311526479751
"1266","221-311","Time 4","bray",0.938556067588326
"1267","221-333","Time 4","bray",0.885769603097774
"1268","221-338","Time 4","bray",0.917721518987342
"1269","221-345","Time 4","bray",0.923076923076923
"1270","221-43","Time 4","bray",0.868421052631579
"1271","221-49","Time 4","bray",0.915151515151515
"1272","221-65","Time 4","bray",0.864332603938731
"1273","221-85","Time 4","bray",0.890196078431372
"1274","221-9","Time 4","bray",0.88768898488121
"1275","221-92","Time 4","bray",0.883990719257541
"1276","234-247","Time 4","bray",0.928571428571429
"1277","234-249","Time 4","bray",0.903846153846154
"1278","234-258","Time 4","bray",0.853107344632768
"1279","234-276","Time 4","bray",0.864734299516908
"1280","234-311","Time 4","bray",0.94413407821229
"1281","234-333","Time 4","bray",0.94341675734494
"1282","234-338","Time 4","bray",0.831683168316832
"1283","234-345","Time 4","bray",0.866071428571429
"1284","234-43","Time 4","bray",0.88421052631579
"1285","234-49","Time 4","bray",0.931758530183727
"1286","234-65","Time 4","bray",0.883381924198251
"1287","234-85","Time 4","bray",0.910906298003072
"1288","234-9","Time 4","bray",0.896848137535817
"1289","234-92","Time 4","bray",0.892744479495268
"1290","247-249","Time 4","bray",0.725563909774436
"1291","247-258","Time 4","bray",0.873939393939394
"1292","247-276","Time 4","bray",0.817543859649123
"1293","247-311","Time 4","bray",0.866666666666667
"1294","247-333","Time 4","bray",0.72814294830887
"1295","247-338","Time 4","bray",0.842352941176471
"1296","247-345","Time 4","bray",0.844036697247706
"1297","247-43","Time 4","bray",0.880668257756563
"1298","247-49","Time 4","bray",0.793974732750243
"1299","247-65","Time 4","bray",0.822401614530777
"1300","247-85","Time 4","bray",0.767513471901463
"1301","247-9","Time 4","bray",0.833500501504513
"1302","247-92","Time 4","bray",0.819689119170984
"1303","249-258","Time 4","bray",0.851546391752577
"1304","249-276","Time 4","bray",0.70873786407767
"1305","249-311","Time 4","bray",0.862721893491124
"1306","249-333","Time 4","bray",0.794621026894866
"1307","249-338","Time 4","bray",0.792156862745098
"1308","249-345","Time 4","bray",0.796992481203007
"1309","249-43","Time 4","bray",0.823293172690763
"1310","249-49","Time 4","bray",0.782293178519594
"1311","249-65","Time 4","bray",0.831029185867896
"1312","249-85","Time 4","bray",0.787278415015641
"1313","249-9","Time 4","bray",0.808219178082192
"1314","249-92","Time 4","bray",0.7664
"1315","258-276","Time 4","bray",0.811594202898551
"1316","258-311","Time 4","bray",0.900990099009901
"1317","258-333","Time 4","bray",0.876518218623482
"1318","258-338","Time 4","bray",0.85239852398524
"1319","258-345","Time 4","bray",0.856655290102389
"1320","258-43","Time 4","bray",0.814671814671815
"1321","258-49","Time 4","bray",0.857777777777778
"1322","258-65","Time 4","bray",0.859223300970874
"1323","258-85","Time 4","bray",0.886111111111111
"1324","258-9","Time 4","bray",0.856459330143541
"1325","258-92","Time 4","bray",0.865284974093264
"1326","276-311","Time 4","bray",0.833333333333333
"1327","276-333","Time 4","bray",0.882121807465619
"1328","276-338","Time 4","bray",0.72093023255814
"1329","276-345","Time 4","bray",0.73374613003096
"1330","276-43","Time 4","bray",0.847750865051903
"1331","276-49","Time 4","bray",0.8
"1332","276-65","Time 4","bray",0.868778280542986
"1333","276-85","Time 4","bray",0.826666666666667
"1334","276-9","Time 4","bray",0.794642857142857
"1335","276-92","Time 4","bray",0.798076923076923
"1336","311-333","Time 4","bray",0.881305637982196
"1337","311-338","Time 4","bray",0.863708399366086
"1338","311-345","Time 4","bray",0.877488514548239
"1339","311-43","Time 4","bray",0.922455573505654
"1340","311-49","Time 4","bray",0.879012345679012
"1341","311-65","Time 4","bray",0.904145077720207
"1342","311-85","Time 4","bray",0.868518518518518
"1343","311-9","Time 4","bray",0.850899742930591
"1344","311-92","Time 4","bray",0.863270777479893
"1345","333-338","Time 4","bray",0.881539980256663
"1346","333-345","Time 4","bray",0.864734299516908
"1347","333-43","Time 4","bray",0.886113886113886
"1348","333-49","Time 4","bray",0.833892617449664
"1349","333-65","Time 4","bray",0.852686308492201
"1350","333-85","Time 4","bray",0.779753761969904
"1351","333-9","Time 4","bray",0.844827586206897
"1352","333-92","Time 4","bray",0.852836879432624
"1353","338-345","Time 4","bray",0.742138364779874
"1354","338-43","Time 4","bray",0.830985915492958
"1355","338-49","Time 4","bray",0.827368421052632
"1356","338-65","Time 4","bray",0.853546910755149
"1357","338-85","Time 4","bray",0.852348993288591
"1358","338-9","Time 4","bray",0.82392776523702
"1359","338-92","Time 4","bray",0.785888077858881
"1360","345-43","Time 4","bray",0.803921568627451
"1361","345-49","Time 4","bray",0.826961770623742
"1362","345-65","Time 4","bray",0.816993464052288
"1363","345-85","Time 4","bray",0.84354628422425
"1364","345-9","Time 4","bray",0.849462365591398
"1365","345-92","Time 4","bray",0.810623556581986
"1366","43-49","Time 4","bray",0.822894168466523
"1367","43-65","Time 4","bray",0.854117647058824
"1368","43-85","Time 4","bray",0.866302864938608
"1369","43-9","Time 4","bray",0.879350348027842
"1370","43-92","Time 4","bray",0.829573934837093
"1371","49-65","Time 4","bray",0.873376623376623
"1372","49-85","Time 4","bray",0.80952380952381
"1373","49-9","Time 4","bray",0.842443729903537
"1374","49-92","Time 4","bray",0.830508474576271
"1375","65-85","Time 4","bray",0.828442437923251
"1376","65-9","Time 4","bray",0.835616438356164
"1377","65-92","Time 4","bray",0.815217391304348
"1378","85-9","Time 4","bray",0.831838565022421
"1379","85-92","Time 4","bray",0.830232558139535
"1380","9-92","Time 4","bray",0.813620071684588
"1381","140-149","Time 5","bray",0.74869109947644
"1382","140-151","Time 5","bray",0.799457994579946
"1383","140-161","Time 5","bray",0.760980592441267
"1384","140-171","Time 5","bray",0.770972037283622
"1385","140-231","Time 5","bray",0.664444444444444
"1386","140-239","Time 5","bray",0.777117384843982
"1387","140-248","Time 5","bray",0.681456200227531
"1388","140-25","Time 5","bray",0.751918158567775
"1389","140-253","Time 5","bray",0.768976897689769
"1390","140-290","Time 5","bray",0.773533424283765
"1391","140-310","Time 5","bray",0.827586206896552
"1392","140-312","Time 5","bray",0.781767955801105
"1393","140-328","Time 5","bray",0.846645367412141
"1394","140-33","Time 5","bray",0.664502164502164
"1395","140-334","Time 5","bray",0.78021978021978
"1396","140-367","Time 5","bray",0.787190082644628
"1397","140-378","Time 5","bray",0.798581560283688
"1398","140-387","Time 5","bray",0.752808988764045
"1399","140-388","Time 5","bray",0.745819397993311
"1400","140-40","Time 5","bray",0.75402635431918
"1401","140-7","Time 5","bray",0.798115746971736
"1402","140-73","Time 5","bray",0.762352941176471
"1403","140-86","Time 5","bray",0.748387096774194
"1404","149-151","Time 5","bray",0.677685950413223
"1405","149-161","Time 5","bray",0.613793103448276
"1406","149-171","Time 5","bray",0.670020120724346
"1407","149-231","Time 5","bray",0.674922600619195
"1408","149-239","Time 5","bray",0.651551312649165
"1409","149-248","Time 5","bray",0.7408
"1410","149-25","Time 5","bray",0.450757575757576
"1411","149-253","Time 5","bray",0.758778625954198
"1412","149-290","Time 5","bray",0.69937369519833
"1413","149-310","Time 5","bray",0.588541666666667
"1414","149-312","Time 5","bray",0.714893617021277
"1415","149-328","Time 5","bray",0.78494623655914
"1416","149-33","Time 5","bray",0.716417910447761
"1417","149-334","Time 5","bray",0.649789029535865
"1418","149-367","Time 5","bray",0.658263305322129
"1419","149-378","Time 5","bray",0.716186252771619
"1420","149-387","Time 5","bray",0.714808043875686
"1421","149-388","Time 5","bray",0.440124416796268
"1422","149-40","Time 5","bray",0.766899766899767
"1423","149-7","Time 5","bray",0.644171779141104
"1424","149-73","Time 5","bray",0.691275167785235
"1425","149-86","Time 5","bray",0.665680473372781
"1426","151-161","Time 5","bray",0.753934191702432
"1427","151-171","Time 5","bray",0.681528662420382
"1428","151-231","Time 5","bray",0.732258064516129
"1429","151-239","Time 5","bray",0.73027989821883
"1430","151-248","Time 5","bray",0.786310517529215
"1431","151-25","Time 5","bray",0.705179282868526
"1432","151-253","Time 5","bray",0.742448330683625
"1433","151-290","Time 5","bray",0.664459161147903
"1434","151-310","Time 5","bray",0.731843575418994
"1435","151-312","Time 5","bray",0.761261261261261
"1436","151-328","Time 5","bray",0.826589595375723
"1437","151-33","Time 5","bray",0.745341614906832
"1438","151-334","Time 5","bray",0.705357142857143
"1439","151-367","Time 5","bray",0.787790697674419
"1440","151-378","Time 5","bray",0.708235294117647
"1441","151-387","Time 5","bray",0.662188099808061
"1442","151-388","Time 5","bray",0.705024311183144
"1443","151-40","Time 5","bray",0.766749379652605
"1444","151-7","Time 5","bray",0.740820734341253
"1445","151-73","Time 5","bray",0.680701754385965
"1446","151-86","Time 5","bray",0.661538461538462
"1447","161-171","Time 5","bray",0.76123595505618
"1448","161-231","Time 5","bray",0.716608594657375
"1449","161-239","Time 5","bray",0.744479495268139
"1450","161-248","Time 5","bray",0.735714285714286
"1451","161-25","Time 5","bray",0.636608344549125
"1452","161-253","Time 5","bray",0.754022988505747
"1453","161-290","Time 5","bray",0.755043227665706
"1454","161-310","Time 5","bray",0.729549248747913
"1455","161-312","Time 5","bray",0.766423357664234
"1456","161-328","Time 5","bray",0.856899488926746
"1457","161-33","Time 5","bray",0.735593220338983
"1458","161-334","Time 5","bray",0.747460087082729
"1459","161-367","Time 5","bray",0.707212055974166
"1460","161-378","Time 5","bray",0.747747747747748
"1461","161-387","Time 5","bray",0.729658792650919
"1462","161-388","Time 5","bray",0.613053613053613
"1463","161-40","Time 5","bray",0.816770186335404
"1464","161-7","Time 5","bray",0.767045454545455
"1465","161-73","Time 5","bray",0.718865598027127
"1466","161-86","Time 5","bray",0.712682379349046
"1467","171-231","Time 5","bray",0.703001579778831
"1468","171-239","Time 5","bray",0.650246305418719
"1469","171-248","Time 5","bray",0.781045751633987
"1470","171-25","Time 5","bray",0.681553398058252
"1471","171-253","Time 5","bray",0.766355140186916
"1472","171-290","Time 5","bray",0.71244635193133
"1473","171-310","Time 5","bray",0.69811320754717
"1474","171-312","Time 5","bray",0.737417943107221
"1475","171-328","Time 5","bray",0.81058495821727
"1476","171-33","Time 5","bray",0.771689497716895
"1477","171-334","Time 5","bray",0.579175704989154
"1478","171-367","Time 5","bray",0.783166904422254
"1479","171-378","Time 5","bray",0.639269406392694
"1480","171-387","Time 5","bray",0.741573033707865
"1481","171-388","Time 5","bray",0.701587301587302
"1482","171-40","Time 5","bray",0.735576923076923
"1483","171-7","Time 5","bray",0.634453781512605
"1484","171-73","Time 5","bray",0.735849056603774
"1485","171-86","Time 5","bray",0.716440422322775
"1486","231-239","Time 5","bray",0.726126126126126
"1487","231-248","Time 5","bray",0.671484888304862
"1488","231-25","Time 5","bray",0.683734939759036
"1489","231-253","Time 5","bray",0.747155499367889
"1490","231-290","Time 5","bray",0.700813008130081
"1491","231-310","Time 5","bray",0.776923076923077
"1492","231-312","Time 5","bray",0.765676567656766
"1493","231-328","Time 5","bray",0.830708661417323
"1494","231-33","Time 5","bray",0.627791563275434
"1495","231-334","Time 5","bray",0.711475409836066
"1496","231-367","Time 5","bray",0.752941176470588
"1497","231-378","Time 5","bray",0.724020442930153
"1498","231-387","Time 5","bray",0.733528550512445
"1499","231-388","Time 5","bray",0.681643132220796
"1500","231-40","Time 5","bray",0.741592920353982
"1501","231-7","Time 5","bray",0.7216
"1502","231-73","Time 5","bray",0.688524590163934
"1503","231-86","Time 5","bray",0.701970443349754
"1504","239-248","Time 5","bray",0.760299625468165
"1505","239-25","Time 5","bray",0.670480549199085
"1506","239-253","Time 5","bray",0.783687943262411
"1507","239-290","Time 5","bray",0.685567010309278
"1508","239-310","Time 5","bray",0.665529010238908
"1509","239-312","Time 5","bray",0.704485488126649
"1510","239-328","Time 5","bray",0.758007117437722
"1511","239-33","Time 5","bray",0.768566493955095
"1512","239-334","Time 5","bray",0.597911227154047
"1513","239-367","Time 5","bray",0.762439807383628
"1514","239-378","Time 5","bray",0.588888888888889
"1515","239-387","Time 5","bray",0.714912280701754
"1516","239-388","Time 5","bray",0.710144927536232
"1517","239-40","Time 5","bray",0.715976331360947
"1518","239-7","Time 5","bray",0.608040201005025
"1519","239-73","Time 5","bray",0.706930693069307
"1520","239-86","Time 5","bray",0.733333333333333
"1521","248-25","Time 5","bray",0.744945567651633
"1522","248-253","Time 5","bray",0.753246753246753
"1523","248-290","Time 5","bray",0.757575757575758
"1524","248-310","Time 5","bray",0.835671342685371
"1525","248-312","Time 5","bray",0.784615384615385
"1526","248-328","Time 5","bray",0.802874743326489
"1527","248-33","Time 5","bray",0.656050955414013
"1528","248-334","Time 5","bray",0.755517826825127
"1529","248-367","Time 5","bray",0.782870928829916
"1530","248-378","Time 5","bray",0.738515901060071
"1531","248-387","Time 5","bray",0.743202416918429
"1532","248-388","Time 5","bray",0.74934036939314
"1533","248-40","Time 5","bray",0.74264705882353
"1534","248-7","Time 5","bray",0.748344370860927
"1535","248-73","Time 5","bray",0.729957805907173
"1536","248-86","Time 5","bray",0.754740834386852
"1537","25-253","Time 5","bray",0.765230312035661
"1538","25-290","Time 5","bray",0.674044265593561
"1539","25-310","Time 5","bray",0.626865671641791
"1540","25-312","Time 5","bray",0.729508196721312
"1541","25-328","Time 5","bray",0.830769230769231
"1542","25-33","Time 5","bray",0.732558139534884
"1543","25-334","Time 5","bray",0.654471544715447
"1544","25-367","Time 5","bray",0.66120218579235
"1545","25-378","Time 5","bray",0.718550106609808
"1546","25-387","Time 5","bray",0.706194690265487
"1547","25-388","Time 5","bray",0.479576399394856
"1548","25-40","Time 5","bray",0.771812080536913
"1549","25-7","Time 5","bray",0.67258382642998
"1550","25-73","Time 5","bray",0.726384364820847
"1551","25-86","Time 5","bray",0.703170028818444
"1552","253-290","Time 5","bray",0.721153846153846
"1553","253-310","Time 5","bray",0.810964083175803
"1554","253-312","Time 5","bray",0.769105691056911
"1555","253-328","Time 5","bray",0.825918762088975
"1556","253-33","Time 5","bray",0.769325153374233
"1557","253-334","Time 5","bray",0.764135702746365
"1558","253-367","Time 5","bray",0.792782305005821
"1559","253-378","Time 5","bray",0.76510067114094
"1560","253-387","Time 5","bray",0.705202312138728
"1561","253-388","Time 5","bray",0.761421319796954
"1562","253-40","Time 5","bray",0.808362369337979
"1563","253-7","Time 5","bray",0.782334384858044
"1564","253-73","Time 5","bray",0.743589743589744
"1565","253-86","Time 5","bray",0.734470158343484
"1566","290-310","Time 5","bray",0.75070821529745
"1567","290-312","Time 5","bray",0.726651480637813
"1568","290-328","Time 5","bray",0.812316715542522
"1569","290-33","Time 5","bray",0.737089201877934
"1570","290-334","Time 5","bray",0.702031602708804
"1571","290-367","Time 5","bray",0.777452415812592
"1572","290-378","Time 5","bray",0.70952380952381
"1573","290-387","Time 5","bray",0.682170542635659
"1574","290-388","Time 5","bray",0.686274509803922
"1575","290-40","Time 5","bray",0.758793969849246
"1576","290-7","Time 5","bray",0.707423580786026
"1577","290-73","Time 5","bray",0.692035398230089
"1578","290-86","Time 5","bray",0.696124031007752
"1579","310-312","Time 5","bray",0.75
"1580","310-328","Time 5","bray",0.804878048780488
"1581","310-33","Time 5","bray",0.80514705882353
"1582","310-334","Time 5","bray",0.666666666666667
"1583","310-367","Time 5","bray",0.748299319727891
"1584","310-378","Time 5","bray",0.735384615384615
"1585","310-387","Time 5","bray",0.75771971496437
"1586","310-388","Time 5","bray",0.671179883945841
"1587","310-40","Time 5","bray",0.782178217821782
"1588","310-7","Time 5","bray",0.702479338842975
"1589","310-73","Time 5","bray",0.770212765957447
"1590","310-86","Time 5","bray",0.767272727272727
"1591","312-328","Time 5","bray",0.765060240963855
"1592","312-33","Time 5","bray",0.765079365079365
"1593","312-334","Time 5","bray",0.737327188940092
"1594","312-367","Time 5","bray",0.804154302670623
"1595","312-378","Time 5","bray",0.737226277372263
"1596","312-387","Time 5","bray",0.747534516765286
"1597","312-388","Time 5","bray",0.761194029850746
"1598","312-40","Time 5","bray",0.789203084832905
"1599","312-7","Time 5","bray",0.746102449888641
"1600","312-73","Time 5","bray",0.776978417266187
"1601","312-86","Time 5","bray",0.773584905660377
"1602","328-33","Time 5","bray",0.845864661654135
"1603","328-334","Time 5","bray",0.791666666666667
"1604","328-367","Time 5","bray",0.864583333333333
"1605","328-378","Time 5","bray",0.789137380191693
"1606","328-387","Time 5","bray",0.80440097799511
"1607","328-388","Time 5","bray",0.825742574257426
"1608","328-40","Time 5","bray",0.793814432989691
"1609","328-7","Time 5","bray",0.8005698005698
"1610","328-73","Time 5","bray",0.820960698689956
"1611","328-86","Time 5","bray",0.828996282527881
"1612","33-334","Time 5","bray",0.750788643533123
"1613","33-367","Time 5","bray",0.762013729977117
"1614","33-378","Time 5","bray",0.757774140752864
"1615","33-387","Time 5","bray",0.73974540311174
"1616","33-388","Time 5","bray",0.7359900373599
"1617","33-40","Time 5","bray",0.748726655348047
"1618","33-7","Time 5","bray",0.765793528505393
"1619","33-73","Time 5","bray",0.727513227513228
"1620","33-86","Time 5","bray",0.722488038277512
"1621","334-367","Time 5","bray",0.734513274336283
"1622","334-378","Time 5","bray",0.609638554216868
"1623","334-387","Time 5","bray",0.737769080234834
"1624","334-388","Time 5","bray",0.683690280065898
"1625","334-40","Time 5","bray",0.735368956743003
"1626","334-7","Time 5","bray",0.580573951434879
"1627","334-73","Time 5","bray",0.746428571428571
"1628","334-86","Time 5","bray",0.696875
"1629","367-378","Time 5","bray",0.770992366412214
"1630","367-387","Time 5","bray",0.762982689747004
"1631","367-388","Time 5","bray",0.671782762691854
"1632","367-40","Time 5","bray",0.826224328593997
"1633","367-7","Time 5","bray",0.772005772005772
"1634","367-73","Time 5","bray",0.76
"1635","367-86","Time 5","bray",0.725
"1636","378-387","Time 5","bray",0.721311475409836
"1637","378-388","Time 5","bray",0.763698630136986
"1638","378-40","Time 5","bray",0.72972972972973
"1639","378-7","Time 5","bray",0.632558139534884
"1640","378-73","Time 5","bray",0.731843575418994
"1641","378-86","Time 5","bray",0.721231766612642
"1642","387-388","Time 5","bray",0.717647058823529
"1643","387-40","Time 5","bray",0.781115879828326
"1644","387-7","Time 5","bray",0.779467680608365
"1645","387-73","Time 5","bray",0.66824644549763
"1646","387-86","Time 5","bray",0.685834502103787
"1647","388-40","Time 5","bray",0.786476868327402
"1648","388-7","Time 5","bray",0.720257234726688
"1649","388-73","Time 5","bray",0.684499314128944
"1650","388-86","Time 5","bray",0.671199011124845
"1651","40-7","Time 5","bray",0.75
"1652","40-73","Time 5","bray",0.774757281553398
"1653","40-86","Time 5","bray",0.774789915966387
"1654","7-73","Time 5","bray",0.756521739130435
"1655","7-86","Time 5","bray",0.731297709923664
"1656","73-86","Time 5","bray",0.690288713910761
