"Observed","Shannon","Simpson","sample"
400,5.99146454710795,0.9975,"253"
201,5.30330490805906,0.995024875621891,"257"
123,4.81218435537242,0.991869918699187,"258"
85,4.44265125649032,0.988235294117647,"263"
368,5.90808293816893,0.997282608695652,"264"
508,6.23048144757852,0.998031496062992,"266"
314,5.74939298590821,0.996815286624204,"269"
579,6.36130247757294,0.998272884283247,"27"
163,5.09375020080678,0.993865030674847,"272"
212,5.35658627467202,0.995283018867924,"275"
153,5.03043792139243,0.993464052287582,"276"
301,5.70711026474886,0.996677740863787,"279"
1196,7.08673793451066,0.999163879598662,"285"
890,6.79122146272624,0.998876404494382,"286"
1337,7.19818357710173,0.99925205684368,"287"
404,6.00141487796118,0.997524752475248,"29"
224,5.41164605185503,0.995535714285714,"290"
49,3.89182029811063,0.979591836734694,"291"
17,2.83321334405622,0.941176470588235,"295"
22,3.09104245335831,0.954545454545455,"297"
300,5.7037824746562,0.996666666666667,"300"
175,5.16478597392351,0.994285714285714,"303"
455,6.12029741895092,0.997802197802198,"31"
129,4.85981240436167,0.992248062015504,"310"
483,6.18001665365262,0.997929606625259,"311"
215,5.37063802812765,0.995348837209302,"312"
431,6.06610809010372,0.997679814385151,"316"
298,5.69709348650543,0.996644295302013,"318"
457,6.12468339089415,0.99781181619256,"32"
102,4.62497281328426,0.990196078431373,"323"
117,4.76217393479776,0.991452991452991,"328"
415,6.02827852023067,0.997590361445783,"33"
865,6.76272950693178,0.998843930635838,"333"
219,5.38907172981651,0.995433789954338,"334"
148,4.99721227376412,0.993243243243243,"338"
916,6.820016364674,0.998908296943231,"340"
437,6.07993319509562,0.997711670480549,"341"
473,6.15909538849188,0.997885835095137,"342"
333,5.80814248998044,0.996996996996997,"343"
170,5.13579843705025,0.994117647058824,"345"
704,6.55677835615802,0.998579545454545,"348"
435,6.07534603108867,0.997701149425287,"353"
797,6.68085467879015,0.998745294855709,"357"
153,5.03043792139243,0.993464052287582,"358"
150,5.01063529409626,0.993333333333333,"359"
1017,6.92461239604874,0.999016715830875,"36"
1572,7.36010397298893,0.999363867684478,"365"
459,6.12905021006052,0.997821350762527,"367"
240,5.480638923342,0.995833333333333,"369"
172,5.14749447681344,0.994186046511628,"37"
603,6.40191719672727,0.998341625207297,"374"
826,6.7165947735209,0.998789346246973,"376"
196,5.27811465923053,0.994897959183674,"378"
277,5.62401750618732,0.996389891696751,"38"
292,5.67675380226826,0.996575342465753,"387"
388,5.96100533962331,0.997422680412371,"388"
174,5.15905529921453,0.994252873563218,"40"
518,6.24997524225952,0.998069498069498,"42"
136,4.91265488573606,0.99264705882353,"43"
122,4.80402104473327,0.991803278688525,"45"
187,5.23110861685457,0.994652406417112,"46"
486,6.18620862390048,0.997942386831276,"48"
327,5.78996017089721,0.996941896024465,"49"
141,4.94875989037817,0.99290780141844,"5"
469,6.15060276844622,0.997867803837953,"52"
1306,7.17472430983636,0.999234303215926,"55"
310,5.7365722974792,0.996774193548387,"62"
974,6.88141130364263,0.998973305954825,"63"
289,5.66642668811245,0.996539792387543,"65"
234,5.45532111535769,0.995726495726496,"7"
341,5.83188247728354,0.997067448680352,"73"
440,6.08677472691226,0.997727272727273,"76"
454,6.1180971980414,0.997797356828194,"83"
597,6.39191711339264,0.998324958123953,"85"
421,6.04263283368241,0.997624703087886,"86"
360,5.88610403145013,0.997222222222222,"87"
295,5.68697535633981,0.996610169491525,"9"
263,5.57215403217778,0.996197718631179,"92"
312,5.7430031878095,0.996794871794872,"96"
459,6.12905021006052,0.997821350762527,"99"
