,Observed,Shannon,Simpson,bird,population,site,sex,timepoint,time,flock,serviceband,pair
X40,174,5.159055299,0.994252874,BIRD12,migratory,Cloaca,male,Time 5,5,migratorymale,232167143,8
X42,518,6.249975242,0.998069498,BIRD18,resident,Cloaca,male,Time 0,0,residentmale,232167128,11
X43,136,4.912654886,0.992647059,BIRD22,resident,Cloaca,female,Time 4,4,residentfemale,232167131,6
X45,122,4.804021045,0.991803279,BIRD11,migratory,Cloaca,male,Time 3,3,migratorymale,232167136,5
X46,187,5.231108617,0.994652406,BIRD07,migratory,Cloaca,male,Time 1,1,migratorymale,231115833,3
X48,486,6.186208624,0.997942387,BIRD11,migratory,Cloaca,male,Time 0,0,migratorymale,232167136,5
X49,327,5.789960171,0.996941896,BIRD04,migratory,Cloaca,female,Time 4,4,migratoryfemale,232167132,4
X5,141,4.94875989,0.992907801,BIRD22,resident,Cloaca,female,Time 1,1,residentfemale,232167131,6
X52,469,6.150602768,0.997867804,BIRD02,migratory,Cloaca,female,Time 3,3,migratoryfemale,232167118,12
X55,1306,7.17472431,0.999234303,BIRD01,migratory,Cloaca,female,Time 0,0,migratoryfemale,232167117,10
X62,310,5.736572297,0.996774194,BIRD09,migratory,Cloaca,male,Time 3,3,migratorymale,232167121,12
X63,974,6.881411304,0.998973306,BIRD25,resident,Cloaca,female,Time 0,0,residentfemale,232167157,11
X65,289,5.666426688,0.996539792,BIRD09,migratory,Cloaca,male,Time 4,4,migratorymale,232167121,12
X7,234,5.455321115,0.995726496,BIRD06,migratory,Cloaca,female,Time 5,5,migratoryfemale,232167137,3
X73,341,5.831882477,0.997067449,BIRD23,resident,Cloaca,female,Time 5,5,residentfemale,232167147,1
X76,440,6.086774727,0.997727273,BIRD01,migratory,Cloaca,female,Time 3,3,migratoryfemale,232167117,10
X83,454,6.118097198,0.997797357,BIRD21,resident,Cloaca,female,Time 2,2,residentfemale,232167129,2
X85,597,6.391917113,0.998324958,BIRD21,resident,Cloaca,female,Time 4,4,residentfemale,232167129,2
X86,421,6.042632834,0.997624703,BIRD24,resident,Cloaca,female,Time 5,5,residentfemale,232167148,8
X87,360,5.886104031,0.997222222,BIRD09,migratory,Cloaca,male,Time 0,0,migratorymale,232167121,12
X9,295,5.686975356,0.996610169,BIRD03,migratory,Cloaca,female,Time 4,4,migratoryfemale,232167119,9
X92,263,5.572154032,0.996197719,BIRD02,migratory,Cloaca,female,Time 4,4,migratoryfemale,232167118,12
X96,312,5.743003188,0.996794872,BIRD15,resident,Cloaca,male,Time 1,1,residentmale,232167124,4
X99,459,6.12905021,0.997821351,BIRD26,resident,Cloaca,female,Time 3,3,residentfemale,232167161,7
