"sample","original","bird","population","site","sex","timepoint","time","flock","serviceband","pair","control","mock","Observed","Shannon","Simpson"
"279",401,"BIRD24","resident","Cloaca","female","Time 1",1,"residentfemale",232167148,8,"no","no",301,5.70711026474886,0.996677740863787
"285",237,"BIRD25","resident","Cloaca","female","Time 3",3,"residentfemale",232167157,11,"no","no",1196,7.08673793451066,0.999163879598662
"286",161,"BIRD17","resident","Cloaca","male","Time 2",2,"residentmale",232167127,7,"no","no",890,6.79122146272624,0.998876404494382
"287",28,"BIRD07","migratory","Cloaca","male","Time 0",0,"migratorymale",231115833,3,"no","no",1337,7.19818357710173,0.99925205684368
"29",225,"BIRD24","resident","Cloaca","female","Time 3",3,"residentfemale",232167148,8,"no","no",404,6.00141487796118,0.997524752475248
"290",447,"BIRD22","resident","Cloaca","female","Time 5",5,"residentfemale",232167131,6,"no","no",224,5.41164605185503,0.995535714285714
"291",415,"BIRD10","migratory","Cloaca","male","Time 1",1,"migratorymale",232167135,10,"no","no",49,3.89182029811063,0.979591836734694
"295",387,"BIRD16","resident","Cloaca","male","Time 1",1,"residentmale",232167125,9,"no","no",17,2.83321334405622,0.941176470588235
"297",65,"BIRD10","migratory","Cloaca","male","Time 0",0,"migratorymale",232167135,10,"no","no",22,3.09104245335831,0.954545454545455
"300",389,"BIRD17","resident","Cloaca","male","Time 1",1,"residentmale",232167127,7,"no","no",300,5.7037824746562,0.996666666666667
"303",213,"BIRD05","migratory","Cloaca","female","Time 3",3,"migratoryfemale",232167133,5,"no","no",175,5.16478597392351,0.994285714285714
"31",19,"BIRD03","migratory","Cloaca","female","Time 0",0,"migratoryfemale",232167119,9,"no","no",455,6.12029741895092,0.997802197802198
"310",439,"BIRD18","resident","Cloaca","male","Time 5",5,"residentmale",232167128,11,"no","no",129,4.85981240436167,0.992248062015504
"311",275,"BIRD16","resident","Cloaca","male","Time 4",4,"residentmale",232167125,9,"no","no",483,6.18001665365262,0.997929606625259
"312",427,"BIRD04","migratory","Cloaca","female","Time 5",5,"migratoryfemale",232167132,4,"no","no",215,5.37063802812765,0.995348837209302
"316",231,"BIRD10","migratory","Cloaca","male","Time 3",3,"migratorymale",232167135,10,"no","no",431,6.06610809010372,0.997679814385151
"318",397,"BIRD21","resident","Cloaca","female","Time 1",1,"residentfemale",232167129,2,"no","no",298,5.69709348650543,0.996644295302013
"32",69,"BIRD06","migratory","Cloaca","female","Time 0",0,"migratoryfemale",232167137,3,"no","no",457,6.12468339089415,0.99781181619256
"323",407,"BIRD26","resident","Cloaca","female","Time 1",1,"residentfemale",232167161,7,"no","no",102,4.62497281328426,0.990196078431373
"328",457,"BIRD07","migratory","Cloaca","male","Time 5",5,"migratorymale",231115833,3,"no","no",117,4.76217393479776,0.991452991452991
"33",463,"BIRD10","migratory","Cloaca","male","Time 5",5,"migratorymale",232167135,10,"no","no",415,6.02827852023067,0.997590361445783
"333",267,"BIRD17","resident","Cloaca","male","Time 4",4,"residentmale",232167127,7,"no","no",865,6.76272950693178,0.998843930635838
"334",421,"BIRD01","migratory","Cloaca","female","Time 5",5,"migratoryfemale",232167117,10,"no","no",219,5.38907172981651,0.995433789954338
"338",253,"BIRD06","migratory","Cloaca","female","Time 4",4,"migratoryfemale",232167137,3,"no","no",148,4.99721227376412,0.993243243243243
"340",153,"BIRD10","migratory","Cloaca","male","Time 2",2,"migratorymale",232167135,10,"no","no",916,6.820016364674,0.998908296943231
"341",151,"BIRD09","migratory","Cloaca","male","Time 2",2,"migratorymale",232167121,12,"no","no",437,6.07993319509562,0.997711670480549
"342",51,"BIRD20","resident","Cloaca","male","Time 0",0,"residentmale",232167193,2,"no","no",473,6.15909538849188,0.997885835095137
